date_parsed,nama_provinsi,tahun,bulan,produksi_padi
2018-01-01,KABUPATEN BANDUNG,2018,1,5356.41
2018-02-01,KABUPATEN BANDUNG,2018,2,20625.0
2018-03-01,KABUPATEN BANDUNG,2018,3,26289.0
2018-04-01,KABUPATEN BANDUNG,2018,4,72600.08000000002
2018-05-01,KABUPATEN BANDUNG,2018,5,25796.0
2018-06-01,KABUPATEN BANDUNG,2018,6,7552.0
2018-07-01,KABUPATEN BANDUNG,2018,7,23631.0
2018-08-01,KABUPATEN BANDUNG,2018,8,35034.0
2018-09-01,KABUPATEN BANDUNG,2018,9,40445.0
2018-10-01,KABUPATEN BANDUNG,2018,10,36047.0
2018-11-01,KABUPATEN BANDUNG,2018,11,11232.0
2018-12-01,KABUPATEN BANDUNG,2018,12,9209.0
2019-01-01,KABUPATEN BANDUNG,2019,1,15445.0
2019-02-01,KABUPATEN BANDUNG,2019,2,26625.0
2019-03-01,KABUPATEN BANDUNG,2019,3,25176.0
2019-04-01,KABUPATEN BANDUNG,2019,4,71889.0
2019-05-01,KABUPATEN BANDUNG,2019,5,22536.0
2019-06-01,KABUPATEN BANDUNG,2019,6,17291.0
2019-07-01,KABUPATEN BANDUNG,2019,7,18536.0
2019-08-01,KABUPATEN BANDUNG,2019,8,24118.0
2019-09-01,KABUPATEN BANDUNG,2019,9,45940.0
2019-10-01,KABUPATEN BANDUNG,2019,10,39683.0
2019-11-01,KABUPATEN BANDUNG,2019,11,25884.0
2019-12-01,KABUPATEN BANDUNG,2019,12,11092.0
2020-01-01,KABUPATEN BANDUNG,2020,1,7220.0
2020-02-01,KABUPATEN BANDUNG,2020,2,23851.0
2020-03-01,KABUPATEN BANDUNG,2020,3,17612.0
2020-04-01,KABUPATEN BANDUNG,2020,4,40555.0
2020-05-01,KABUPATEN BANDUNG,2020,5,50758.0
2020-06-01,KABUPATEN BANDUNG,2020,6,12631.0
2020-07-01,KABUPATEN BANDUNG,2020,7,6842.0
2020-08-01,KABUPATEN BANDUNG,2020,8,25799.0
2020-09-01,KABUPATEN BANDUNG,2020,9,38736.0
2020-10-01,KABUPATEN BANDUNG,2020,10,33443.0
2020-11-01,KABUPATEN BANDUNG,2020,11,14071.0
2020-12-01,KABUPATEN BANDUNG,2020,12,5638.0
2021-01-01,KABUPATEN BANDUNG,2021,1,15360.0
2021-02-01,KABUPATEN BANDUNG,2021,2,14933.0
2021-03-01,KABUPATEN BANDUNG,2021,3,25672.0
2021-04-01,KABUPATEN BANDUNG,2021,4,53822.0
2021-05-01,KABUPATEN BANDUNG,2021,5,28187.0
2021-06-01,KABUPATEN BANDUNG,2021,6,17533.0
2021-07-01,KABUPATEN BANDUNG,2021,7,21356.0
2021-08-01,KABUPATEN BANDUNG,2021,8,24320.0
2021-09-01,KABUPATEN BANDUNG,2021,9,32129.0
2021-10-01,KABUPATEN BANDUNG,2021,10,31843.0
2021-11-01,KABUPATEN BANDUNG,2021,11,25933.0
2021-12-01,KABUPATEN BANDUNG,2021,12,19627.0
2022-01-01,KABUPATEN BANDUNG,2022,1,9835.0
2022-02-01,KABUPATEN BANDUNG,2022,2,11343.0
2022-03-01,KABUPATEN BANDUNG,2022,3,20891.0
2022-04-01,KABUPATEN BANDUNG,2022,4,54046.0
2022-05-01,KABUPATEN BANDUNG,2022,5,39190.0
2022-06-01,KABUPATEN BANDUNG,2022,6,15123.0
2022-07-01,KABUPATEN BANDUNG,2022,7,9815.0
2022-08-01,KABUPATEN BANDUNG,2022,8,13455.0
2022-09-01,KABUPATEN BANDUNG,2022,9,35201.0
2022-10-01,KABUPATEN BANDUNG,2022,10,46957.0
2022-11-01,KABUPATEN BANDUNG,2022,11,22380.0
2022-12-01,KABUPATEN BANDUNG,2022,12,10975.0
2023-01-01,KABUPATEN BANDUNG,2023,1,10048.0
2023-02-01,KABUPATEN BANDUNG,2023,2,16931.0
2023-03-01,KABUPATEN BANDUNG,2023,3,25974.0
2023-04-01,KABUPATEN BANDUNG,2023,4,53433.0
2023-05-01,KABUPATEN BANDUNG,2023,5,31504.0
2023-06-01,KABUPATEN BANDUNG,2023,6,18503.0
2023-07-01,KABUPATEN BANDUNG,2023,7,14977.0
2023-08-01,KABUPATEN BANDUNG,2023,8,19174.0
2023-09-01,KABUPATEN BANDUNG,2023,9,37060.0
2023-10-01,KABUPATEN BANDUNG,2023,10,38210.0
2023-11-01,KABUPATEN BANDUNG,2023,11,23969.0
2023-12-01,KABUPATEN BANDUNG,2023,12,10360.0
