nama_kabupaten_kota,tanggal,forecast
KABUPATEN BANDUNG,2023-01-01,9319.516431886801
KABUPATEN BANDUNG,2023-02-01,17363.048660936325
KABUPATEN BANDUNG,2023-03-01,20435.294341025903
KABUPATEN BANDUNG,2023-04-01,51939.15119140791
KABUPATEN BANDUNG,2023-05-01,29065.35214709092
KABUPATEN BANDUNG,2023-06-01,12227.024606516468
KABUPATEN BANDUNG,2023-07-01,14266.40947653569
KABUPATEN BANDUNG,2023-08-01,21861.96803725684
KABUPATEN BANDUNG,2023-09-01,33967.768183140724
KABUPATEN BANDUNG,2023-10-01,32898.58751352487
KABUPATEN BANDUNG,2023-11-01,17301.03879591522
KABUPATEN BANDUNG,2023-12-01,9830.790340319263
KABUPATEN BANDUNG BARAT,2023-01-01,7415.794276423689
KABUPATEN BANDUNG BARAT,2023-02-01,10946.459753153678
KABUPATEN BANDUNG BARAT,2023-03-01,27218.643323262433
KABUPATEN BANDUNG BARAT,2023-04-01,16974.740464479622
KABUPATEN BANDUNG BARAT,2023-05-01,8191.796832337804
KABUPATEN BANDUNG BARAT,2023-06-01,11217.720421762042
KABUPATEN BANDUNG BARAT,2023-07-01,23904.227174580545
KABUPATEN BANDUNG BARAT,2023-08-01,11921.319826394034
KABUPATEN BANDUNG BARAT,2023-09-01,8770.189691914264
KABUPATEN BANDUNG BARAT,2023-10-01,7293.158212811381
KABUPATEN BANDUNG BARAT,2023-11-01,7673.980773118627
KABUPATEN BANDUNG BARAT,2023-12-01,5242.534715600362
KABUPATEN BEKASI,2023-01-01,34534.187622387195
KABUPATEN BEKASI,2023-02-01,24021.37856942889
KABUPATEN BEKASI,2023-03-01,52762.442619765476
KABUPATEN BEKASI,2023-04-01,51235.564586092914
KABUPATEN BEKASI,2023-05-01,48109.58752380957
KABUPATEN BEKASI,2023-06-01,102145.17882027778
KABUPATEN BEKASI,2023-07-01,53171.96260921372
KABUPATEN BEKASI,2023-08-01,22755.01664108728
KABUPATEN BEKASI,2023-09-01,27310.328860215966
KABUPATEN BEKASI,2023-10-01,45453.70668686566
KABUPATEN BEKASI,2023-11-01,59523.209580941635
KABUPATEN BEKASI,2023-12-01,55823.08499835648
KABUPATEN BOGOR,2023-01-01,13890.823049898954
KABUPATEN BOGOR,2023-02-01,17960.905372419864
KABUPATEN BOGOR,2023-03-01,42402.72979022024
KABUPATEN BOGOR,2023-04-01,35917.128549769855
KABUPATEN BOGOR,2023-05-01,19858.654239667696
KABUPATEN BOGOR,2023-06-01,17353.099266854806
KABUPATEN BOGOR,2023-07-01,33487.81041051539
KABUPATEN BOGOR,2023-08-01,26766.101356951684
KABUPATEN BOGOR,2023-09-01,20260.050840533888
KABUPATEN BOGOR,2023-10-01,22339.659617632366
KABUPATEN BOGOR,2023-11-01,15213.220615254948
KABUPATEN BOGOR,2023-12-01,11020.07330267524
KABUPATEN CIAMIS,2023-01-01,2761.6882901265985
KABUPATEN CIAMIS,2023-02-01,11587.306624332792
KABUPATEN CIAMIS,2023-03-01,52575.34859220472
KABUPATEN CIAMIS,2023-04-01,42020.25207565727
KABUPATEN CIAMIS,2023-05-01,22451.96508479117
KABUPATEN CIAMIS,2023-06-01,10651.883614424278
KABUPATEN CIAMIS,2023-07-01,25474.195651794522
KABUPATEN CIAMIS,2023-08-01,31144.910393287253
KABUPATEN CIAMIS,2023-09-01,29478.971894753286
KABUPATEN CIAMIS,2023-10-01,26410.075561888378
KABUPATEN CIAMIS,2023-11-01,7382.0860311533115
KABUPATEN CIAMIS,2023-12-01,5636.852564049528
KABUPATEN CIANJUR,2023-01-01,22276.173838685376
KABUPATEN CIANJUR,2023-02-01,59894.71526764164
KABUPATEN CIANJUR,2023-03-01,94660.71452357942
KABUPATEN CIANJUR,2023-04-01,63434.409299891384
KABUPATEN CIANJUR,2023-05-01,35628.62647373765
KABUPATEN CIANJUR,2023-06-01,47111.61786511315
