id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;bulan;produksi_padi;satuan;tahun
1;32;JAWA BARAT;3201;KABUPATEN BOGOR;JANUARI;25475;TON GABAH KERING GILING;2018
2;32;JAWA BARAT;3201;KABUPATEN BOGOR;FEBRUARI;25290;TON GABAH KERING GILING;2018
3;32;JAWA BARAT;3201;KABUPATEN BOGOR;MARET;44928;TON GABAH KERING GILING;2018
4;32;JAWA BARAT;3201;KABUPATEN BOGOR;APRIL;39470;TON GABAH KERING GILING;2018
5;32;JAWA BARAT;3201;KABUPATEN BOGOR;MEI;36418;TON GABAH KERING GILING;2018
6;32;JAWA BARAT;3201;KABUPATEN BOGOR;JUNI;24022;TON GABAH KERING GILING;2018
7;32;JAWA BARAT;3201;KABUPATEN BOGOR;JULI;41728;TON GABAH KERING GILING;2018
8;32;JAWA BARAT;3201;KABUPATEN BOGOR;AGUSTUS;30630;TON GABAH KERING GILING;2018
9;32;JAWA BARAT;3201;KABUPATEN BOGOR;SEPTEMBER;23307;TON GABAH KERING GILING;2018
10;32;JAWA BARAT;3201;KABUPATEN BOGOR;OKTOBER;19488;TON GABAH KERING GILING;2018
11;32;JAWA BARAT;3201;KABUPATEN BOGOR;NOVEMBER;23462;TON GABAH KERING GILING;2018
12;32;JAWA BARAT;3201;KABUPATEN BOGOR;DESEMBER;14464;TON GABAH KERING GILING;2018
13;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JANUARI;15877;TON GABAH KERING GILING;2018
14;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;FEBRUARI;95781;TON GABAH KERING GILING;2018
15;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;MARET;94558;TON GABAH KERING GILING;2018
16;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;APRIL;33311;TON GABAH KERING GILING;2018
17;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;MEI;36897;TON GABAH KERING GILING;2018
18;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JUNI;84189;TON GABAH KERING GILING;2018
19;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;JULI;58521;TON GABAH KERING GILING;2018
20;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;AGUSTUS;26826;TON GABAH KERING GILING;2018
21;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;SEPTEMBER;28080;TON GABAH KERING GILING;2018
22;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;OKTOBER;22198;TON GABAH KERING GILING;2018
23;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;NOVEMBER;18415;TON GABAH KERING GILING;2018
24;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;DESEMBER;11206;TON GABAH KERING GILING;2018
25;32;JAWA BARAT;3203;KABUPATEN CIANJUR;JANUARI;14607;TON GABAH KERING GILING;2018
26;32;JAWA BARAT;3203;KABUPATEN CIANJUR;FEBRUARI;91276;TON GABAH KERING GILING;2018
27;32;JAWA BARAT;3203;KABUPATEN CIANJUR;MARET;120075;TON GABAH KERING GILING;2018
28;32;JAWA BARAT;3203;KABUPATEN CIANJUR;APRIL;56371;TON GABAH KERING GILING;2018
29;32;JAWA BARAT;3203;KABUPATEN CIANJUR;MEI;44744;TON GABAH KERING GILING;2018
30;32;JAWA BARAT;3203;KABUPATEN CIANJUR;JUNI;79610;TON GABAH KERING GILING;2018
31;32;JAWA BARAT;3203;KABUPATEN CIANJUR;JULI;97842;TON GABAH KERING GILING;2018
32;32;JAWA BARAT;3203;KABUPATEN CIANJUR;AGUSTUS;63653;TON GABAH KERING GILING;2018
33;32;JAWA BARAT;3203;KABUPATEN CIANJUR;SEPTEMBER;45342;TON GABAH KERING GILING;2018
34;32;JAWA BARAT;3203;KABUPATEN CIANJUR;OKTOBER;34955;TON GABAH KERING GILING;2018
35;32;JAWA BARAT;3203;KABUPATEN CIANJUR;NOVEMBER;29328;TON GABAH KERING GILING;2018
36;32;JAWA BARAT;3203;KABUPATEN CIANJUR;DESEMBER;18925;TON GABAH KERING GILING;2018
37;32;JAWA BARAT;3204;KABUPATEN BANDUNG;JANUARI;4667;TON GABAH KERING GILING;2018
38;32;JAWA BARAT;3204;KABUPATEN BANDUNG;FEBRUARI;20625;TON GABAH KERING GILING;2018
39;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MARET;26289;TON GABAH KERING GILING;2018
40;32;JAWA BARAT;3204;KABUPATEN BANDUNG;APRIL;74341;TON GABAH KERING GILING;2018
41;32;JAWA BARAT;3204;KABUPATEN BANDUNG;MEI;25796;TON GABAH KERING GILING;2018
42;32;JAWA BARAT;3204;KABUPATEN BANDUNG;JUNI;7552;TON GABAH KERING GILING;2018
43;32;JAWA BARAT;3204;KABUPATEN BANDUNG;JULI;23631;TON GABAH KERING GILING;2018
44;32;JAWA BARAT;3204;KABUPATEN BANDUNG;AGUSTUS;35034;TON GABAH KERING GILING;2018
45;32;JAWA BARAT;3204;KABUPATEN BANDUNG;SEPTEMBER;40445;TON GABAH KERING GILING;2018
46;32;JAWA BARAT;3204;KABUPATEN BANDUNG;OKTOBER;36047;TON GABAH KERING GILING;2018
47;32;JAWA BARAT;3204;KABUPATEN BANDUNG;NOVEMBER;11232;TON GABAH KERING GILING;2018
48;32;JAWA BARAT;3204;KABUPATEN BANDUNG;DESEMBER;9209;TON GABAH KERING GILING;2018
49;32;JAWA BARAT;3205;KABUPATEN GARUT;JANUARI;12313;TON GABAH KERING GILING;2018
50;32;JAWA BARAT;3205;KABUPATEN GARUT;FEBRUARI;51580;TON GABAH KERING GILING;2018
51;32;JAWA BARAT;3205;KABUPATEN GARUT;MARET;58121;TON GABAH KERING GILING;2018
52;32;JAWA BARAT;3205;KABUPATEN GARUT;APRIL;47245;TON GABAH KERING GILING;2018
53;32;JAWA BARAT;3205;KABUPATEN GARUT;MEI;36530;TON GABAH KERING GILING;2018
54;32;JAWA BARAT;3205;KABUPATEN GARUT;JUNI;47396;TON GABAH KERING GILING;2018
55;32;JAWA BARAT;3205;KABUPATEN GARUT;JULI;55542;TON GABAH KERING GILING;2018
56;32;JAWA BARAT;3205;KABUPATEN GARUT;AGUSTUS;35084;TON GABAH KERING GILING;2018
57;32;JAWA BARAT;3205;KABUPATEN GARUT;SEPTEMBER;30280;TON GABAH KERING GILING;2018
58;32;JAWA BARAT;3205;KABUPATEN GARUT;OKTOBER;27472;TON GABAH KERING GILING;2018
59;32;JAWA BARAT;3205;KABUPATEN GARUT;NOVEMBER;27950;TON GABAH KERING GILING;2018
60;32;JAWA BARAT;3205;KABUPATEN GARUT;DESEMBER;20072;TON GABAH KERING GILING;2018
61;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JANUARI;19990;TON GABAH KERING GILING;2018
62;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;FEBRUARI;79011;TON GABAH KERING GILING;2018
63;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;MARET;45600;TON GABAH KERING GILING;2018
64;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;APRIL;42125;TON GABAH KERING GILING;2018
65;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;MEI;39532;TON GABAH KERING GILING;2018
66;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JUNI;56236;TON GABAH KERING GILING;2018
67;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;JULI;61165;TON GABAH KERING GILING;2018
68;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;AGUSTUS;45567;TON GABAH KERING GILING;2018
69;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;SEPTEMBER;35375;TON GABAH KERING GILING;2018
70;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;OKTOBER;32497;TON GABAH KERING GILING;2018
71;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;NOVEMBER;30406;TON GABAH KERING GILING;2018
72;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;DESEMBER;22541;TON GABAH KERING GILING;2018
73;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JANUARI;7780;TON GABAH KERING GILING;2018
74;32;JAWA BARAT;3207;KABUPATEN CIAMIS;FEBRUARI;19647;TON GABAH KERING GILING;2018
75;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MARET;78566;TON GABAH KERING GILING;2018
76;32;JAWA BARAT;3207;KABUPATEN CIAMIS;APRIL;28560;TON GABAH KERING GILING;2018
77;32;JAWA BARAT;3207;KABUPATEN CIAMIS;MEI;20985;TON GABAH KERING GILING;2018
78;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JUNI;6688;TON GABAH KERING GILING;2018
79;32;JAWA BARAT;3207;KABUPATEN CIAMIS;JULI;38643;TON GABAH KERING GILING;2018
